INFO 2021-01-19 16:29:00,736 autoreload 578 Watching for file changes with StatReloader
INFO 2021-01-19 16:29:21,154 basehttp 154 "POST /users/login/ HTTP/1.1" 200 173
INFO 2021-01-19 16:31:36,847 autoreload 203 /home/hkxpz/maxiaolong/hippo/hippo_api/hippo_api/settings/dev.py changed, reloading.
2021-01-19 16:31:37,398 [INFO]  [autoreload 578] Watching for file changes with StatReloader
2021-01-19 16:31:45,484 [INFO]  [basehttp 154] "POST /users/login/ HTTP/1.1" 200 173
2021-01-19 16:31:46,266 [INFO]  [basehttp 154] "POST /users/login/ HTTP/1.1" 200 173
2021-01-19 16:32:30,158 [INFO]  [autoreload 203] /home/hkxpz/maxiaolong/hippo/hippo_api/hippo_api/settings/dev.py changed, reloading.
2021-01-19 16:32:30,758 [INFO]  [autoreload - 578] Watching for file changes with StatReloader
2021-01-19 16:32:35,353 [INFO]  [basehttp - 154] "POST /users/login/ HTTP/1.1" 200 173
2021-01-19 16:32:35,678 [INFO]  [basehttp - 154] "POST /users/login/ HTTP/1.1" 200 173
2021-01-19 16:32:36,872 [INFO]  [basehttp - 154] "POST /users/login/ HTTP/1.1" 200 173
2021-01-19 16:32:37,466 [INFO]  [basehttp - 154] "POST /users/login/ HTTP/1.1" 200 173
2021-01-19 16:32:37,845 [INFO]  [basehttp - 154] "POST /users/login/ HTTP/1.1" 200 173
2021-01-19 16:32:38,371 [INFO]  [basehttp - 154] "POST /users/login/ HTTP/1.1" 200 173
2021-01-19 16:33:45,845 [INFO]  [autoreload - 578] Watching for file changes with StatReloader
2021-01-19 16:33:56,962 [INFO]  [basehttp - 154] "GET /xadmin/xadmin/log/ HTTP/1.1" 200 29690
2021-01-19 16:33:57,007 [INFO]  [basehttp - 154] "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
2021-01-19 16:33:57,011 [INFO]  [basehttp - 154] "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
2021-01-19 16:33:57,012 [INFO]  [basehttp - 154] "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
2021-01-19 16:33:57,015 [INFO]  [basehttp - 154] "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
2021-01-19 16:33:57,016 [INFO]  [basehttp - 154] "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
2021-01-19 16:33:57,019 [INFO]  [basehttp - 154] "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
2021-01-19 16:33:57,020 [INFO]  [basehttp - 154] "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
2021-01-19 16:33:57,020 [WARNING]  [basehttp - 154] "GET /static/xadmin/vendor/select2/select2_locale_zh-Hans.js HTTP/1.1" 404 1769
2021-01-19 16:33:57,022 [INFO]  [basehttp - 154] "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 304 0
